keyword,raw_market_value,psa9_value,psa10_value,gem_rate_estimate,psa9_rate_estimate,verification_status,verified_at,expires_at,source_url,comp_count,notes
2018 Topps Chrome Shohei Ohtani #150 Rookie White Jersey Los Angeles Angels,650,700,1600,0,0,verified,2026-08-12,2026-09-11,https://www.sportscardspro.com/game/baseball-cards-2018-topps-chrome/shohei-ohtani-150,30,"Verified sold comps reviewed 2026-08-12; conservative rounded values from recent exact-card sales; grading probabilities disabled pending card-level assessment; revalidate by 2026-09-11"
2023-24 Panini Prizm Victor Wembanyama #136 Silver Prizm Rookie Spurs,900,1000,2900,0,0,verified,2026-08-12,2026-09-11,https://www.sportscardspro.com/game/basketball-cards-2023-panini-prizm/victor-wembanyama-silver-136,30,"Verified sold comps reviewed 2026-08-12; conservative rounded values from recent exact-card sales; grading probabilities disabled pending card-level assessment; revalidate by 2026-09-11"
2018 Topps Chrome Shohei Ohtani #150 Refractor Rookie Pitching Angels,3000,3200,6400,0,0,verified,2026-08-12,2026-09-11,https://www.sportscardspro.com/game/baseball-cards-2018-topps-chrome/shohei-ohtani-refractor-150,30,"Verified sold comps reviewed 2026-08-12; conservative rounded values from recent exact-card sales; grading probabilities disabled pending card-level assessment; revalidate by 2026-09-11"
2003-04 Topps Chrome LeBron James #111 Rookie Cavaliers,2500,5200,15500,0,0,verified,2026-08-12,2026-09-11,https://www.sportscardspro.com/game/basketball-cards-2003-topps-chrome/lebron-james-111,30,"Verified sold comps reviewed 2026-08-12; conservative rounded values from recent exact-card sales; grading probabilities disabled pending card-level assessment; revalidate by 2026-09-11"
2024 Panini Prizm Caleb Williams #301 Silver Prizm Rookie Chicago Bears,170,215,1100,0,0,verified,2026-08-12,2026-09-11,https://www.sportscardspro.com/game/football-cards-2024-panini-prizm/caleb-williams-silver-301,30,"Verified sold comps reviewed 2026-08-12; conservative rounded values from recent exact-card sales; grading probabilities disabled pending card-level assessment; revalidate by 2026-09-11"
2024 Panini Prizm Jayden Daniels #347 Silver Prizm Rookie Washington Commanders,115,145,850,0,0,verified,2026-08-12,2026-09-11,https://www.sportscardspro.com/game/football-cards-2024-panini-prizm/jayden-daniels-silver-347,30,"Verified sold comps reviewed 2026-08-12; conservative rounded values from recent exact-card sales; grading probabilities disabled pending card-level assessment; revalidate by 2026-09-11"
Victor Wembanyama Prizm Silver RC,250,325,700,0.45,0.40,demonstration,,,,,Example only - replace with real comps
Victor Wembanyama Mosaic Blue /99,175,250,450,0.50,0.35,demonstration,,,,,Example only
Shohei Ohtani Bowman Chrome RC,350,550,1100,0.55,0.35,demonstration,,,,,Example only
Shohei Ohtani Topps Chrome Refractor,225,325,600,0.50,0.35,demonstration,,,,,Example only
LeBron James Topps Chrome,1200,2200,6500,0.25,0.45,demonstration,,,,,Example only
Caitlin Clark Prizm Silver RC,200,275,650,0.45,0.40,demonstration,,,,,Example only
Michael Jordan Finest Refractor,350,575,1200,0.35,0.45,demonstration,,,,,Example only
Kobe Bryant Finest Refractor,300,500,1000,0.35,0.45,demonstration,,,,,Example only
Caleb Williams Prizm Silver RC,175,250,500,0.45,0.40,demonstration,,,,,Example only
Jayden Daniels Prizm Silver RC,175,250,500,0.45,0.40,demonstration,,,,,Example only
