title,price,shipping,currency,item_url,image_url,seller_username,seller_feedback,seller_feedback_pct,buying_options,condition,item_end_date
Victor Wembanyama Mosaic Blue Prizm RC 77/99 Raw,120,5,USD,https://www.ebay.com/itm/sample1,,seller_a,1200,99.8,FIXED_PRICE,Used,
Victor Wembanyama Prizm Silver Rookie Raw,180,4.99,USD,https://www.ebay.com/itm/sample2,,seller_b,800,100.0,AUCTION,Used,
Shohei Ohtani Bowman Chrome RC Raw Sharp,240,6,USD,https://www.ebay.com/itm/sample3,,seller_c,5000,99.9,FIXED_PRICE,Used,
Shohei Ohtani Topps Chrome Refractor Raw,205,5,USD,https://www.ebay.com/itm/sample4,,seller_d,250,98.5,FIXED_PRICE,Used,
LeBron James Topps Chrome Rookie Raw,1700,8,USD,https://www.ebay.com/itm/sample5,,seller_e,900,99.5,BEST_OFFER,Used,
Caitlin Clark Prizm Silver RC Raw,125,5,USD,https://www.ebay.com/itm/sample6,,seller_f,700,99.2,FIXED_PRICE,Used,
Michael Jordan Finest Refractor Raw Insert,225,5,USD,https://www.ebay.com/itm/sample7,,seller_g,1100,99.7,AUCTION,Used,
Kobe Bryant Finest Refractor Raw,390,6,USD,https://www.ebay.com/itm/sample8,,seller_h,350,99.1,FIXED_PRICE,Used,
Caleb Williams Prizm Silver RC Raw,115,5,USD,https://www.ebay.com/itm/sample9,,seller_i,620,99.4,FIXED_PRICE,Used,
Jayden Daniels Prizm Silver RC PSA 10,360,7,USD,https://www.ebay.com/itm/sample10,,seller_j,2000,99.9,FIXED_PRICE,Graded,
Victor Wembanyama custom art card reprint,20,4,USD,https://www.ebay.com/itm/sample11,,seller_k,50,97.0,FIXED_PRICE,Used,
Shohei Ohtani Bowman Chrome RC,420,6,USD,https://www.ebay.com/itm/sample12,,seller_l,775,100.0,BEST_OFFER,Used,
